日程区分,ホテル名,グレード,客室タイプ名,総額料金(2名),プラン名,備考
DEMO,ハレクラニ沖縄,T4,,N/A（満室/該当なし）,,
DEMO,ハレクラニ沖縄,T3,クラブ オーシャンフロント スイート,"¥155,000",【朝食付】クラブラウンジ利用可,朝食込
DEMO,ハレクラニ沖縄,T2,デラックス オーシャンビュー,"¥88,000",【素泊まり】オーシャンステイ,
DEMO,ハレクラニ沖縄,T1,スタンダード ガーデンビュー,"¥62,000",【素泊まり】シンプルステイ,
DEMO,ルネッサンス リゾート オキナワ,T4,,N/A（満室/該当なし）,,
DEMO,ルネッサンス リゾート オキナワ,T3,クラブサビー エグゼクティブ,"¥92,000",【朝食付】ラウンジアクセス,朝食込
DEMO,ルネッサンス リゾート オキナワ,T2,オーシャンウイング オーシャンビュー,"¥58,000",【朝食付】海側確約,朝食込
DEMO,ルネッサンス リゾート オキナワ,T1,スタンダードルーム,"¥41,000",【素泊まり】ベーシックプラン,
DEMO,シェラトン沖縄サンマリーナリゾート,T4,,N/A（満室/該当なし）,,
DEMO,シェラトン沖縄サンマリーナリゾート,T3,,N/A（満室/該当なし）,,
DEMO,シェラトン沖縄サンマリーナリゾート,T2,デラックス オーシャンフロント,"¥49,000",【素泊まり】オーシャンフロント確約,
DEMO,シェラトン沖縄サンマリーナリゾート,T1,スタンダード,"¥37,000",【素泊まり】スタンダードステイ,
DEMO,ANAインターコンチネンタル万座ビーチリゾート,T4,,N/A（満室/該当なし）,,
DEMO,ANAインターコンチネンタル万座ビーチリゾート,T3,クラブインターコンチネンタル プレミアム,"¥118,000",【朝食付】クラブラウンジ利用可,朝食込
DEMO,ANAインターコンチネンタル万座ビーチリゾート,T2,デラックス オーシャンビュー,"¥61,000",【素泊まり】海側確約,
DEMO,ANAインターコンチネンタル万座ビーチリゾート,T1,スーペリア,"¥44,000",【素泊まり】スタンダードステイ,
DEMO,カフーリゾート フチャク コンド・ホテル,T4,コンドミニアム 1BR キッチン付,"¥46,000",【素泊まり】暮らすように滞在,
DEMO,カフーリゾート フチャク コンド・ホテル,T3,,N/A（満室/該当なし）,,
DEMO,カフーリゾート フチャク コンド・ホテル,T2,,N/A（満室/該当なし）,,
DEMO,カフーリゾート フチャク コンド・ホテル,T1,ホテル棟 スタンダード,"¥33,000",【素泊まり】ベーシック,
